Название теста,Кол-во прогонов,Длительность_среднее,Длительность_дисперсия,Длительность_ДИ_нижн,Длительность_ДИ_верхн,ОЗУ_среднее,ОЗУ_дисперсия,ОЗУ_ДИ_нижн,ОЗУ_ДИ_верхн,CPU_User_среднее,CPU_User_дисперсия,CPU_User_ДИ_нижн,CPU_User_ДИ_верхн,CPU_System_среднее,CPU_System_дисперсия,CPU_System_ДИ_нижн,CPU_System_ДИ_верхн
Конвертация массы,25,1136.24,10366.02333333333,1096.3290414861615,1176.1509585138385,70.55696990966797,19.938484746708998,68.8065907164306,72.30734910290533,0,0,0,0,0,0,0,0
Конвертация длины,125,442.152,2513.6783225806453,433.3626670815012,450.9413329184988,85.83226513671875,75.92648259740082,84.30470714948245,87.35982312395504,0,0,0,0,0,0,0,0
Конвертация температуры,75,441.52,1755.928648648649,432.03627675319535,451.0037232468046,80.15776153564452,90.97542513772282,77.99908541910435,82.3164376521847,0,0,0,0,0,0,0,0
Проверка ошибок ввода,175,444.54285714285714,5841.904761904761,433.2184810746875,455.8672332110268,85.02542471749442,119.39857545483578,83.40646285000508,86.64438658498375,0,0,0,0,0,0,0,0
Результат добавляется в историю,25,435.84,1612.3899999999996,420.0994060798202,451.58059392017975,70.77712982177735,128.7602886357368,66.32900426229482,75.22525538125988,0,0,0,0,0,0,0,0
Несколько конвертаций,25,627.92,632.9099999999999,618.0581805816573,637.7818194183426,74.42449035644532,186.60955138050485,69.06957017932466,79.77941053356598,0,0,0,0,0,0,0,0
Очистка истории,25,970.68,1369.8100000000002,956.1717098236904,985.1882901763095,73.56867706298829,138.56670478676526,68.95427416289888,78.18307996307769,0,0,0,0,0,0,0,0
Ошибка не попадает в историю,25,447.52,6503.426666666666,415.9076202207637,479.13237977923626,70.45757598876953,85.14464551593603,66.84044082284598,74.07471115469309,0,0,0,0,0,0,0,0
Итогово:,25,10265.32,78280.14333333333,10155.643931757319,10374.99606824268,81.22987132263185,9.082646075453464,80.04848411830869,82.41125852695501,NaN,0,0,0,NaN,0,0,0
